StationCode,Name,Lat,Lon,WebSite,RawData,FileName,From,To
458,Aalsmeer,52.25,4.77,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=458,https://climexp.knmi.nl/data/rrrr458.dat,rrrr458.data,19270102,20230310
040,Aalsum bij Dokkum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=040,https://climexp.knmi.nl/data/rrrr040.dat,rrrr040.data,18921229,19250930
680,Aalten,51.9,6.55,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=680,https://climexp.knmi.nl/data/rrrr680.dat,rrrr680.data,19040802,20230310
711,Aardenburg,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=711,https://climexp.knmi.nl/data/rrrr711.dat,rrrr711.data,18731201,18870630
572,Abcoude,52.25,4.97,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=572,https://climexp.knmi.nl/data/rrrr572.dat,rrrr572.data,19300902,20230310
045,Akkrum,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=045,https://climexp.knmi.nl/data/rrrr045.dat,rrrr045.data,18821001,19370430
089,Akkrum,53.05,5.82,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=089,https://climexp.knmi.nl/data/rrrr089.dat,rrrr089.data,19951001,20230310
200,Alkmaar,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=200,https://climexp.knmi.nl/data/rrrr200.dat,rrrr200.data,18800302,19410901
664,Almelo,52.33,6.67,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=664,https://climexp.knmi.nl/data/rrrr664.dat,rrrr664.data,18800802,20230310
678,Almen,52.15,6.32,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=678,https://climexp.knmi.nl/data/rrrr678.dat,rrrr678.data,19500302,20230310
363,Alteveer (Hoogeveen),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=363,https://climexp.knmi.nl/data/rrrr363.dat,rrrr363.data,19161101,19220930
169,Amen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=169,https://climexp.knmi.nl/data/rrrr169.dat,rrrr169.data,19680101,19750101
560,Amerongen,51.98,5.45,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=560,https://climexp.knmi.nl/data/rrrr560.dat,rrrr560.data,19100409,20230310
515,Amersfoort,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=515,https://climexp.knmi.nl/data/rrrr515.dat,rrrr515.data,18800501,19480401
529,Amersfoort (Tutein-Nolthenius),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=529,https://climexp.knmi.nl/data/rrrr529.dat,rrrr529.data,19280101,19341231
910,Ammerzoden,51.73,5.2,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=910,https://climexp.knmi.nl/data/rrrr910.dat,rrrr910.data,19321014,20230310
441,Amsterdam,52.37,4.92,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=441,https://climexp.knmi.nl/data/rrrr441.dat,rrrr441.data,19160101,20150101
